TSI NanoScan SMPS Model 3910
Mode,Scan
Serial Number,3910161901
Last Calibrated,2022/03/15


dN (#/cm3)

File Index,Sample #,Date Time,11.5,15.4,20.5,27.4,36.5,48.7,64.9,86.6,115.5,154.0,205.4,273.8,365.2,Total Conc,Median (nm),Mean (nm),Geo Mean (nm),Mode (nm),GSD,Particle Density (g/cc),Firmware Version,Status
1,56,2024/2/14 8:36:47,49.8393,142.8225,121.0886,156.0407,154.1026,130.9052,115.9130,128.9334,151.6452,139.6491,85.1406,26.2766,10.5025,1412.8593,51.5667,76.2711,52.7693,27.3842,2.4030,1.2000,1.4,Inlet flow error; CPC flow error; Charger flow error; 
1,57,2024/2/14 8:37:47,24.8578,108.0547,127.6011,167.1387,161.5047,137.9153,128.3636,146.1820,169.9465,154.5429,92.8455,25.9551,3.8678,1448.7759,56.5409,78.5258,56.6410,115.4782,2.2966,1.2000,1.4,Inlet flow error; CPC flow error; Charger flow error; 
1,58,2024/2/14 8:38:47,19.4407,94.3507,132.7086,175.1538,168.9015,137.5324,113.0952,113.4931,122.4762,117.5844,91.8263,56.6661,30.8431,1374.0721,52.5758,85.2390,57.5919,27.3842,2.4229,1.2000,1.4,Inlet flow error; CPC flow error; Charger flow error; 
1,59,2024/2/14 8:39:47,41.9438,99.6240,115.6031,170.8415,165.7326,125.0039,94.6023,103.0200,128.6559,131.2981,98.3493,50.8447,21.9304,1347.4497,51.6991,84.2174,56.5469,27.3842,2.4699,1.2000,1.4,Inlet flow error; CPC flow error; Charger flow error; 
1,60,2024/2/14 8:40:47,27.5410,81.8115,127.1366,162.7199,129.3390,87.7001,88.7749,134.3474,172.8914,151.8349,78.1604,7.7912,0.0000,1250.0483,58.6908,77.2514,56.1677,115.4782,2.2993,1.2000,1.4,Inlet flow error; CPC flow error; Charger flow error; 
1,61,2024/2/14 8:41:47,35.6316,100.9144,110.4603,123.7196,130.4175,132.2456,133.4852,131.4715,125.2835,101.7504,61.5148,27.9237,23.7057,1238.5237,55.2994,79.0856,55.0705,64.9382,2.3596,1.2000,1.4,Inlet flow error; Filling reservoir; CPC flow error; Charger flow error; 
1,62,2024/2/14 8:42:47,31.8369,89.5061,116.4377,149.2601,152.3692,132.3368,113.0745,108.8474,124.9729,123.9418,84.8186,34.5450,12.9364,1274.8834,53.1338,80.1022,55.8359,36.5174,2.3640,1.2000,1.4,Inlet flow error; CPC flow error; Charger flow error; 
1,63,2024/2/14 8:43:47,37.9553,93.2817,113.4859,159.8791,136.0091,97.4213,95.1772,138.8889,169.4260,146.5343,84.5607,26.1941,12.8190,1311.6326,60.3582,82.2268,57.7615,115.4782,2.3868,1.2000,1.4,Inlet flow error; CPC flow error; Charger flow error; 
1,64,2024/2/14 8:44:47,27.1612,76.3161,107.9781,142.1089,146.0189,124.9334,103.7514,99.3540,119.8584,128.3675,100.3151,53.8318,22.4451,1252.4400,57.1286,89.0273,60.7445,36.5174,2.4398,1.2000,1.4,Inlet flow error; CPC flow error; Charger flow error; 
1,65,2024/2/14 8:45:47,32.3954,89.2835,112.2992,138.7789,150.0104,139.6871,120.4477,105.1659,108.1559,112.3003,96.8195,67.6447,41.9116,1314.9002,56.3084,91.6865,60.6688,36.5174,2.5070,1.2000,1.4,Inlet flow error; CPC flow error; Charger flow error; 
